species,island,sex,year,date,id,measurements,values
Adelie,Torgersen,male,2007,2007-11-11,N1A1,bill_length_mm,39.1
Adelie,Torgersen,male,2007,2007-11-11,N1A1,bill_depth_mm,18.7
Adelie,Torgersen,male,2007,2007-11-11,N1A1,flipper_length_mm,181
Adelie,Torgersen,male,2007,2007-11-11,N1A1,body_mass_g,3750
Adelie,Torgersen,female,2007,2007-11-11,N1A2,bill_length_mm,39.5
Adelie,Torgersen,female,2007,2007-11-11,N1A2,bill_depth_mm,17.4
Adelie,Torgersen,female,2007,2007-11-11,N1A2,flipper_length_mm,186
Adelie,Torgersen,female,2007,2007-11-11,N1A2,body_mass_g,3800
Adelie,Torgersen,female,2007,2007-11-16,N2A1,bill_length_mm,40.3
Adelie,Torgersen,female,2007,2007-11-16,N2A1,bill_depth_mm,18
Adelie,Torgersen,female,2007,2007-11-16,N2A1,flipper_length_mm,195
Adelie,Torgersen,female,2007,2007-11-16,N2A1,body_mass_g,3250
Adelie,Torgersen,NA,2007,2007-11-16,N2A2,bill_length_mm,NA
Adelie,Torgersen,NA,2007,2007-11-16,N2A2,bill_depth_mm,NA
Adelie,Torgersen,NA,2007,2007-11-16,N2A2,flipper_length_mm,NA
Adelie,Torgersen,NA,2007,2007-11-16,N2A2,body_mass_g,NA
Adelie,Torgersen,female,2007,2007-11-16,N3A1,bill_length_mm,36.7
Adelie,Torgersen,female,2007,2007-11-16,N3A1,bill_depth_mm,19.3
Adelie,Torgersen,female,2007,2007-11-16,N3A1,flipper_length_mm,193
Adelie,Torgersen,female,2007,2007-11-16,N3A1,body_mass_g,3450
Adelie,Torgersen,male,2007,2007-11-16,N3A2,bill_length_mm,39.3
Adelie,Torgersen,male,2007,2007-11-16,N3A2,bill_depth_mm,20.6
Adelie,Torgersen,male,2007,2007-11-16,N3A2,flipper_length_mm,190
Adelie,Torgersen,male,2007,2007-11-16,N3A2,body_mass_g,3650
Adelie,Torgersen,female,2007,2007-11-15,N4A1,bill_length_mm,38.9
Adelie,Torgersen,female,2007,2007-11-15,N4A1,bill_depth_mm,17.8
Adelie,Torgersen,female,2007,2007-11-15,N4A1,flipper_length_mm,181
Adelie,Torgersen,female,2007,2007-11-15,N4A1,body_mass_g,3625
Adelie,Torgersen,male,2007,2007-11-15,N4A2,bill_length_mm,39.2
Adelie,Torgersen,male,2007,2007-11-15,N4A2,bill_depth_mm,19.6
Adelie,Torgersen,male,2007,2007-11-15,N4A2,flipper_length_mm,195
Adelie,Torgersen,male,2007,2007-11-15,N4A2,body_mass_g,4675
Adelie,Torgersen,NA,2007,2007-11-09,N5A1,bill_length_mm,34.1
Adelie,Torgersen,NA,2007,2007-11-09,N5A1,bill_depth_mm,18.1
Adelie,Torgersen,NA,2007,2007-11-09,N5A1,flipper_length_mm,193
Adelie,Torgersen,NA,2007,2007-11-09,N5A1,body_mass_g,3475
Adelie,Torgersen,NA,2007,2007-11-09,N5A2,bill_length_mm,42
Adelie,Torgersen,NA,2007,2007-11-09,N5A2,bill_depth_mm,20.2
Adelie,Torgersen,NA,2007,2007-11-09,N5A2,flipper_length_mm,190
Adelie,Torgersen,NA,2007,2007-11-09,N5A2,body_mass_g,4250
Adelie,Torgersen,NA,2007,2007-11-09,N6A1,bill_length_mm,37.8
Adelie,Torgersen,NA,2007,2007-11-09,N6A1,bill_depth_mm,17.1
Adelie,Torgersen,NA,2007,2007-11-09,N6A1,flipper_length_mm,186
Adelie,Torgersen,NA,2007,2007-11-09,N6A1,body_mass_g,3300
Adelie,Torgersen,NA,2007,2007-11-09,N6A2,bill_length_mm,37.8
Adelie,Torgersen,NA,2007,2007-11-09,N6A2,bill_depth_mm,17.3
Adelie,Torgersen,NA,2007,2007-11-09,N6A2,flipper_length_mm,180
Adelie,Torgersen,NA,2007,2007-11-09,N6A2,body_mass_g,3700
Adelie,Torgersen,female,2007,2007-11-15,N7A1,bill_length_mm,41.1
Adelie,Torgersen,female,2007,2007-11-15,N7A1,bill_depth_mm,17.6
Adelie,Torgersen,female,2007,2007-11-15,N7A1,flipper_length_mm,182
Adelie,Torgersen,female,2007,2007-11-15,N7A1,body_mass_g,3200
Adelie,Torgersen,male,2007,2007-11-15,N7A2,bill_length_mm,38.6
Adelie,Torgersen,male,2007,2007-11-15,N7A2,bill_depth_mm,21.2
Adelie,Torgersen,male,2007,2007-11-15,N7A2,flipper_length_mm,191
Adelie,Torgersen,male,2007,2007-11-15,N7A2,body_mass_g,3800
Adelie,Torgersen,male,2007,2007-11-16,N8A1,bill_length_mm,34.6
Adelie,Torgersen,male,2007,2007-11-16,N8A1,bill_depth_mm,21.1
Adelie,Torgersen,male,2007,2007-11-16,N8A1,flipper_length_mm,198
Adelie,Torgersen,male,2007,2007-11-16,N8A1,body_mass_g,4400
Adelie,Torgersen,female,2007,2007-11-16,N8A2,bill_length_mm,36.6
Adelie,Torgersen,female,2007,2007-11-16,N8A2,bill_depth_mm,17.8
Adelie,Torgersen,female,2007,2007-11-16,N8A2,flipper_length_mm,185
Adelie,Torgersen,female,2007,2007-11-16,N8A2,body_mass_g,3700
Adelie,Torgersen,female,2007,2007-11-12,N9A1,bill_length_mm,38.7
Adelie,Torgersen,female,2007,2007-11-12,N9A1,bill_depth_mm,19
Adelie,Torgersen,female,2007,2007-11-12,N9A1,flipper_length_mm,195
Adelie,Torgersen,female,2007,2007-11-12,N9A1,body_mass_g,3450
Adelie,Torgersen,male,2007,2007-11-12,N9A2,bill_length_mm,42.5
Adelie,Torgersen,male,2007,2007-11-12,N9A2,bill_depth_mm,20.7
Adelie,Torgersen,male,2007,2007-11-12,N9A2,flipper_length_mm,197
Adelie,Torgersen,male,2007,2007-11-12,N9A2,body_mass_g,4500
Adelie,Torgersen,female,2007,2007-11-16,N10A1,bill_length_mm,34.4
Adelie,Torgersen,female,2007,2007-11-16,N10A1,bill_depth_mm,18.4
Adelie,Torgersen,female,2007,2007-11-16,N10A1,flipper_length_mm,184
Adelie,Torgersen,female,2007,2007-11-16,N10A1,body_mass_g,3325
Adelie,Torgersen,male,2007,2007-11-16,N10A2,bill_length_mm,46
Adelie,Torgersen,male,2007,2007-11-16,N10A2,bill_depth_mm,21.5
Adelie,Torgersen,male,2007,2007-11-16,N10A2,flipper_length_mm,194
Adelie,Torgersen,male,2007,2007-11-16,N10A2,body_mass_g,4200
